Barclays ATP World Tour Finals - Tsonga vs Federer
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,BP2,BV2,BP3,BV3,LP1,LV1,LP2,LV2,LP3,LV3,Total matched,LPM, Set1, Set2, Set3, Points
1322422767047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,204.28,2,253.28,1.9,9.42,2.26,17608.04,2.8,10505.99,2.94,4.28,494828.78,2.2,6,6,2,15
1322422767047,5,ACTIVE,2251402,Roger Federer,1.84,723.99,1.81,3457.33,1.8,21039.27,1.9,150.27,1.95,33.56,1.98,4,1.1449158E7,1.84,3,7,2,15
1322422768047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,204.28,2,253.28,1.9,9.42,2.26,17608.04,2.8,10505.99,2.94,4.28,495008.44,2.18,6,6,2,15
1322422768047,5,ACTIVE,2251402,Roger Federer,1.85,10702.69,1.84,660.71,1.83,200,1.86,2,1.9,28.75,1.95,33.56,1.144961E7,1.85,3,7,2,15
1322422769047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,204.28,2,253.28,1.9,9.42,2.26,17608.04,2.8,10505.99,2.94,4.28,495011.22,2.14,6,6,2,15
1322422769047,5,ACTIVE,2251402,Roger Federer,1.85,9429.73,1.84,706.1,1.81,3457.33,1.9,28.75,1.95,33.56,1.98,4,1.1452805E7,1.85,3,7,2,15
1322422770047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.18,2,2.26,17608.04,2.58,10,495547.88,2,6,6,2,15
1322422770047,5,ACTIVE,2251402,Roger Federer,1.87,983.15,1.85,9103.57,1.84,1006.1,1.99,26.4,2,906.15,2.1,8.56,1.1454066E7,1.98,3,7,2,15
1322422771047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.18,20.83,2.26,17608.04,2.58,10,495547.88,2,6,6,2,15
1322422771047,5,ACTIVE,2251402,Roger Federer,1.87,902.1,1.85,9103.57,1.84,1006.1,1.99,26.4,2,929.61,2.1,8.56,1.1454228E7,1.87,3,7,2,15
1322422772047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.18,20.83,2.26,17608.04,2.58,10,495547.88,2,6,6,2,15
1322422772047,5,ACTIVE,2251402,Roger Federer,1.87,256.85,1.85,10424.06,1.84,6006.1,1.99,26.4,2,929.61,2.1,8.56,1.1454454E7,1.87,3,7,2,15
1322422773047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.18,20.83,2.26,17608.04,2.58,10,495553.88,2.16,6,6,2,15
1322422773047,5,ACTIVE,2251402,Roger Federer,1.87,181.59,1.85,9036.05,1.84,6006.1,1.99,26.4,2,929.61,2.1,8.56,1.1454598E7,1.87,3,7,2,15
1322422774047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.18,20.83,2.2,100,2.58,10,495672.5,2.16,6,6,2,15
1322422774047,5,ACTIVE,2251402,Roger Federer,1.87,700.38,1.86,1768.32,1.85,9046.38,1.88,103.48,1.98,33,1.99,26.4,1.1455135E7,1.87,3,7,2,15
1322422775047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.65,55,2.14,26.54,2.16,38,2.18,20.83,495672.5,2.16,6,6,2,15
1322422775047,5,ACTIVE,2251402,Roger Federer,1.87,567.68,1.85,171.23,1.84,1003.51,1.88,103.48,1.98,33,1.99,26.4,1.1455401E7,1.87,3,7,2,15
1322422776047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2,198.31,1.9,9.42,1.8,535.1,2.58,10,2.94,4.28,3,11.56,495866.97,2.18,6,6,2,15
1322422776047,5,ACTIVE,2251402,Roger Federer,1.63,437.15,1.62,9405.82,1.6,1752.79,1.75,3215.8,1.89,49.82,1.98,33,1.1463112E7,1.8,3,7,2,15
1322422777047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,12,2,198.31,1.9,9.42,2.94,4.28,3,11.56,3.05,59.93,495876.97,2.58,6,6,2,15
1322422777047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.63,777.13,1.66,2764,1.67,4865.91,1.146447E7,1.63,3,7,2,30
1322422778047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.26,2004.28,2.24,36.02,2,198.31,2.94,4.28,3,11.56,3.05,59.93,495879.56,2.5,6,6,2,15
1322422778047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.66,2760.1,1.75,11215.8,1.8,2,1.1464474E7,1.66,3,7,2,30
1322422779047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19993.15,2.26,2004.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495879.56,2.5,6,6,2,15
1322422779047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.75,38006.89,1.8,2,1.81,5.13,1.1464602E7,1.66,3,7,2,30
1322422780047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19993.15,2.26,2004.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495879.56,2.5,6,6,2,15
1322422780047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.75,38006.89,1.8,2,1.81,5.13,1.1464602E7,1.66,3,7,2,30
1322422781047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19991.14,2.26,2004.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495883.56,2.34,6,6,2,15
1322422781047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.75,38005.89,1.79,44,1.8,2,1.1464604E7,1.75,3,7,2,30
1322422782047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19988.36,2.26,2004.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495889.12,2.34,6,6,2,15
1322422782047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.58,1265.82,1.68,21.4,1.75,38005.89,1.79,44,1.1464604E7,1.75,3,7,2,30
1322422783047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19988.36,2.26,2004.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495889.12,2.34,6,6,2,15
1322422783047,5,ACTIVE,2251402,Roger Federer,1.62,9405.82,1.6,1752.79,1.59,1258.06,1.64,1219.51,1.68,21.4,1.75,38005.89,1.1464604E7,1.75,3,7,2,30
1322422784047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.34,19988.36,2.26,2026.28,2.24,32,2.94,4.28,3,11.56,3.05,59.93,495947.78,2.56,6,6,2,15
1322422784047,5,ACTIVE,2251402,Roger Federer,1.63,1388.01,1.62,9405.82,1.6,12.16,1.64,1127.94,1.68,21.4,1.75,38005.89,1.1464696E7,1.64,3,7,2,30
1322422785047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,196.91,2.34,19988.36,2.26,2026.28,2.94,4.28,3,11.56,3.05,59.93,495947.78,2.56,6,6,2,15
1322422785047,5,ACTIVE,2251402,Roger Federer,1.68,606.48,1.67,3756.25,1.66,753.44,1.72,2998,1.75,38005.89,1.79,44,1.1467194E7,1.68,3,7,2,30
1322422786047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,196.91,2.34,19988.36,2.26,2026.28,2.5,30,2.94,4.28,3,11.56,495955.78,2.38,6,6,2,15
1322422786047,5,ACTIVE,2251402,Roger Federer,1.67,2989.17,1.66,1641.44,1.63,1883.9,1.71,9405.82,1.72,2986.92,1.74,200,1.1469953E7,1.72,3,7,2,30
1322422787047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,196.91,2.34,19988.36,2.26,2026.28,2.5,30,2.6,125.19,2.94,4.28,495955.78,2.38,6,6,2,15
1322422787047,5,ACTIVE,2251402,Roger Federer,1.67,2989.17,1.66,1641.44,1.63,1944.52,1.68,243.47,1.71,9405.82,1.73,100,1.1469953E7,1.72,3,7,2,30
1322422788047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,418.91,2.34,19988.36,2.26,2026.28,2.5,30,2.6,125.19,2.94,4.28,495968.4,2.46,6,6,2,15
1322422788047,5,ACTIVE,2251402,Roger Federer,1.67,2989.17,1.66,2054.35,1.63,2030.13,1.68,224.94,1.71,10088.8,1.73,100,1.1469971E7,1.68,3,7,2,30
1322422789047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,418.91,2.34,19988.36,2.26,2026.28,2.5,30,2.6,125.19,2.62,5.99,495968.4,2.46,6,6,2,15
1322422789047,5,ACTIVE,2251402,Roger Federer,1.67,1777.04,1.66,2074.35,1.65,428.08,1.68,224.94,1.7,51.37,1.71,10088.8,1.1472395E7,1.67,3,7,2,30
1322422790047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.5,6.81,2.36,234.84,2.34,19988.36,2.6,129.47,2.62,5.99,2.92,162.71,496044.4,2.5,6,6,2,15
1322422790047,5,ACTIVE,2251402,Roger Federer,1.66,1326.22,1.65,428.08,1.64,591.24,1.68,201.51,1.7,51.37,1.71,10088.8,1.147748E7,1.68,3,7,2,30
1322422791047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.5,6.81,2.36,234.84,2.34,19988.36,2.6,129.47,2.62,5.99,2.92,162.71,496044.4,2.5,6,6,2,15
1322422791047,5,ACTIVE,2251402,Roger Federer,1.66,1222.63,1.65,428.08,1.64,403.38,1.68,201.51,1.7,51.37,1.71,10088.8,1.1477687E7,1.66,3,7,2,30
1322422792047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.5,6.81,2.36,234.84,2.34,19988.36,2.6,129.47,2.62,5.99,2.92,162.71,496044.4,2.5,6,6,2,15
1322422792047,5,ACTIVE,2251402,Roger Federer,1.66,1222.63,1.65,428.08,1.64,405.38,1.68,581.64,1.7,51.37,1.71,10345.65,1.1477687E7,1.66,3,7,2,30
1322422793047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,234.84,2.34,19988.36,2.26,2026.28,2.6,129.47,2.62,5.99,2.92,162.71,496066.25,2.46,6,6,2,15
1322422793047,5,ACTIVE,2251402,Roger Federer,1.66,1216.92,1.65,428.08,1.64,422.84,1.68,561.37,1.7,101.37,1.71,10090.8,1.1477727E7,1.66,3,7,2,30
1322422794047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.36,234.84,2.34,19988.36,2.26,2026.28,2.56,100,2.6,129.47,2.62,5.99,496072.25,2.48,6,6,2,15
1322422794047,5,ACTIVE,2251402,Roger Federer,1.66,1099.26,1.64,921.52,1.63,1697.76,1.67,233.2,1.68,561.37,1.7,229.79,1.1479481E7,1.66,3,7,2,30
